epoch,episode_reward,pnl_total,approx_kl,clipfrac
1,-1843334.0825999903,0.0,0.3421798308182582,0.4393267354909454
2,-1845600.836649994,0.0,0.022097454726050597,0.03496178138510799
3,-1827076.658599995,-26.0,0.00021423373671178945,0.010748614256412086
4,-1787307.1856500038,5.0,9.390442880217338e-05,0.01799155437288843
5,-1807618.9186400042,-16.0,0.0002562521536038837,0.015360403232375123
6,-1783795.9576500028,16.0,4.256389126400839e-06,0.03938598187319589
7,-1780357.5706300011,28.0,0.00023917160107632165,0.03808710932737796
8,-1686603.7586899935,53.0,0.00011805351813931314,0.08117527688625238
9,-1648181.9517899982,65.0,4.247428494226978e-05,0.09704340514819453
10,-1678944.3538200008,59.0,8.260395392522659e-05,0.08389126243291806
11,-1686403.3977599912,65.0,3.553590281114417e-05,0.08414380745777231
12,-1690977.0256800007,53.0,-5.751003438056659e-05,0.08470038625886601
13,-1678926.8127700007,61.0,8.945963561578441e-05,0.09159063003858589
14,-1682525.456650006,60.0,-3.758648492952043e-05,0.09049614145735044
15,-1683433.1007900012,64.0,-3.110657127871678e-05,0.08958647740906142
16,-1679458.375799991,61.0,2.1015509183682947e-05,0.09143479051228785
17,-1683611.1286700005,61.0,0.00010461479790300299,0.08974797775759208
18,-1679636.1929799893,61.0,-5.315597534730154e-06,0.0902571824551961
19,-1259896.7566699996,62.0,1.625606359567655e-05,0.08859265039656435
20,-1248471.0011400003,55.0,0.00011201173295516104,0.09829032438381619
21,-1253886.2339499993,61.0,0.00010682692710656286,0.08992710930992238
22,-1251101.5468799986,58.0,7.102921503343131e-05,0.08662556088683719
23,-902042.5566499977,-56.0,0.002161278033908341,0.16423662031525807
24,-1150112.6127099963,-32.0,0.00029788965976148277,0.11480150651186705
25,-56147.57261000008,-5.0,0.06773325983170475,0.26016673274856333
26,-90017.20903999983,-11.0,0.17039498299319222,0.14422785092009516
27,-29130.854849999927,111.0,4.810720081167413,0.9093439588384913
28,-3092.7684000011013,-36.0,0.026075993511141184,0.35587502411560507
29,-3221.8616800001455,31.0,1.428255928481778,0.4238826214206337
30,-79662.08268000023,89.0,1.0740503800966599,0.34147534778168953
31,-266191.86870999984,-101.0,2.3006304348474433,0.6227647984486739
32,-174205.2407399991,-100.0,4.837948208577262,0.7269111213502505
33,-235946.33727999812,-118.0,0.013569188262324392,0.04783922550808145
34,-480893.1188800012,-113.0,0.0009428626179347426,0.05955252041176751
35,-472905.7908300001,-105.0,0.00028905554511507247,0.05996368407419827
36,-944002.0487299968,-106.0,0.00031233012005212616,0.05437030361823442
37,-907799.0867600015,-97.0,0.000507460482349536,0.051097532831416125
38,-913386.4468100003,-110.0,0.00019612150831954263,0.048858199762766376
39,-868302.7216599958,-104.0,-1.5128551098651643e-05,0.04794462247202728
40,-960987.2537300029,-113.0,0.00011703539856122934,0.046163052046017734
41,-620954.4157099993,-95.0,0.0002092973997743973,0.04602465009939739
42,-870554.8947399997,-108.0,0.00015223152520727143,0.05473234058999216
43,-881833.4838799976,-108.0,-6.416378657726551e-05,0.055324061870858664
44,-936886.6817099974,-112.0,-6.2164977115397e-05,0.05236757564703804
45,-914983.1347599978,-111.0,-2.290355312664583e-05,0.053647932419183336
46,-958854.8547799953,-103.0,4.028588278311565e-06,0.05101180966443919
47,-905645.7777799984,-109.0,5.539645630599488e-05,0.0549808638016169
48,-944623.3517399996,-96.0,8.074393174064613e-05,0.05365285870390913
